,Logistic(ours)
analcatdata_aids,0.7647058823529411
analcatdata_asbestos,0.8684677419354837
analcatdata_bankruptcy,0.9834198385236448
analcatdata_boxing1,0.683379120879121
analcatdata_boxing2,0.698492277143516
analcatdata_creditscore,0.9382479843789368
analcatdata_cyyoung8092,0.8998990221088435
analcatdata_cyyoung9302,0.9354068550497122
analcatdata_fraud,0.9104044834307992
analcatdata_japansolvent,0.9639161220043574
analcatdata_lawsuit,0.9969749594263285
appendicitis,0.8639977920992958
backache,0.8302397485319745
biomed,0.9510545151893467
breast_cancer,0.7398479095749323
bupa,0.676106567840106
clean1,1.0
cleve,0.9024374176548089
colic,0.9023710339839374
corral,0.9679874601706239
glass2,0.8025625422582826
haberman,0.7016872427983539
heart_c,0.9225955204216074
heart_h,0.883422183897033
heart_statlog,0.9282916666666666
hepatitis,0.9312726568824129
horse_colic,0.8802696569516847
house_votes_84,0.992893927233815
hungarian,0.9036884800868704
ionosphere,0.9851587301587301
irish,0.8469212019342796
labor,0.9970238095238096
lupus,0.8506835342832785
molecular_biology_promoters,0.9920181405895692
mux6,0.7948826907723608
parity5,0.6873278236914601
postoperative_patient_data,0.6855216408268734
prnn_crabs,0.9981312343753869
prnn_synth,0.9377492759333376
saheart,0.7984471394341354
sonar,0.9587751212751212
spect,0.8934974081063382
spectf,0.9455285779663608
vote,0.9978263777421081
