,Logistic(ours)
analcatdata_aids,0.7475490196078431
analcatdata_asbestos,0.8615860215053762
analcatdata_bankruptcy,0.9857266435986158
analcatdata_boxing1,0.6797161172161172
analcatdata_boxing2,0.6960610909300583
analcatdata_creditscore,0.97562358276644
analcatdata_cyyoung8092,0.9181193310657596
analcatdata_cyyoung9302,0.9332701029129601
analcatdata_fraud,0.8967592592592593
analcatdata_japansolvent,0.943218954248366
analcatdata_lawsuit,0.9969749594263285
appendicitis,0.8573367943668696
backache,0.8338865886160289
biomed,0.9509213483146067
breast_cancer,0.7292531702390305
bupa,0.6831171166563772
clean1,1.0
cleve,0.8979578392621871
colic,0.8964163128218429
corral,0.9703900709219858
glass2,0.7991142663962137
haberman,0.7066460905349793
heart_c,0.9225955204216074
heart_h,0.882696624189582
heart_statlog,0.9227083333333334
hepatitis,0.9002833210150283
horse_colic,0.8877726438095103
house_votes_84,0.9900849384697699
hungarian,0.8995945833732555
ionosphere,0.9730687830687831
irish,0.8513902306840406
labor,1.0
lupus,0.8527260179434094
molecular_biology_promoters,0.9898412698412699
mux6,0.795071553048838
parity5,0.6991735537190084
postoperative_patient_data,0.6937580749354004
prnn_crabs,0.9981312343753869
prnn_synth,0.9364975680115758
saheart,0.7969837855515772
sonar,0.9637517325017325
spect,0.8828688217735264
spectf,0.9455285779663608
vote,0.9975922953451044
